what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1477070338884
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1477070338972
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.properties",1477070438838
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070438852
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1477070449688
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1477070450916
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1477070455978
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070459202
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070546776
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1477070548547
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1477070602477
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070602808
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070620396
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070620707
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070621043
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1477070630052
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070630573
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070662739
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070662990
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070663373
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1477070669256
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.showInformation",1477070683552
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070683568
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1477070687088
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070718210
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070722773
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070725688
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477070728351
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1477070801729
started,bundle,org.eclipse.core.externaltools,1.0.0.v20100505,"org.eclipse.core.externaltools",1477070801804
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.properties",1477083943821
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477083943836
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477083944546
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477083945424
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477083948472
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1477083950968
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1477083954853
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1477083961519
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1477083961865
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1477083962083
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1477083962454
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1477083962876
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1477083963082
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1477083963111
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1477083963232
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1477083963323
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1477211285528
started,bundle,org.eclipse.osgi,3.6.0.v20100517,"org.eclipse.osgi",1477211285529
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1477211285529
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1477211285529
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1477211285530
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1477211285530
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1477211285584
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1477211285587
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1477211285588
started,bundle,org.eclipse.core.filesystem,1.3.0.v20100526-0737,"org.eclipse.core.filesystem",1477211285592
started,bundle,org.eclipse.core.jobs,3.5.0.v20100515,"org.eclipse.core.jobs",1477211285594
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1477211285595
started,bundle,org.eclipse.core.resources,3.6.0.v20100526-0737,"org.eclipse.core.resources",1477211285640
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1477211285640
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1477211285641
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1477211285641
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1477211285642
